;Equal Weights;Markowitz;Risk Parity;Goal-Based Investing;Benchmark (IBOVESPA)
Retorno Total Acumulado (%);24,683874263106564;13,947972845747515;24,683874263106564;30,297021739722084;1,980550586280394
Retorno Anualizado (%);5,693432116492891;3,3315946274416586;5,693432116492891;6,8681026209355345;0,49346514261270347
Volatilidade Anualizada (%);10,116000249054581;9,440085418172663;10,116000249054581;10,697262991041637;18,291811534898436
Índice de Sharpe;-0,3443600027888845;-0,6154684116114751;-0,3443600027888845;-0,21668832090995807;-0,4027380356550995
Índice de Sortino;-0,633433428000291;-0,9685092877129389;-0,633433428000291;-0,44280069813026357;-0,7703332844239981
Maximum Drawdown (MDD) (%);-16,898397502674754;-21,31912919754245;-16,898397502674754;-20,376822745597394;-26,499510613568024
Alfa de Jensen (%);-0,5892516276398487;-5,575566085547336;-0,5892516276398487;-2,588278897164857;-1,6725472059125348
Beta;0,4745113754637416;0,13949974593147024;0,4745113754637416;0,06939230773452533;0,999999999999999
