Date;Equal Weights;Markowitz;Risk Parity;Goal-Based Investing;Benchmark (IBOVESPA)
2021-03-17;103515,18062816754;103515,18062816754;103515,18062816754;103315,95901750267;98814,72186660107
2021-03-18;101975,94452014015;101975,94452014015;101975,94452014015;101853,52501524838;97361,52678745535
2021-03-19;102151,67846910242;102151,67846910242;102151,67846910242;101946,39850332643;98537,47869805928
2021-03-22;101985,30678209923;101985,30678209923;101985,30678209923;101794,83541448976;97483,61552222606
2021-03-23;100826,19072232823;100826,19072232823;100826,19072232823;100676,3913028072;96027,87692777262
2021-03-24;100844,8366775425;100844,8366775425;100844,8366775425;100806,96642924863;95012,16648155526
2021-03-25;101832,72145838162;101832,72145838162;101832,72145838162;101704,6769309824;96441,62208449555
2021-03-26;103128,59202919826;103128,59202919826;103128,59202919826;102996,22333689989;97315,74351191636
2021-03-29;103078,3721854916;103078,3721854916;103078,3721854916;102886,44810571377;97856,66443402541
2021-03-30;103861,2792032692;103861,2792032692;103861,2792032692;103548,1269833681;99069,92123580928
2021-03-31;103426,86165400261;102262,91322207756;103426,86165400261;102555,27164892749;98886,78813365323
2021-04-01;103492,41008635674;104456,15944929919;103492,41008635674;104402,9838684535;97715,92325366476
2021-04-05;104769,4418984476;105343,13166398124;104769,4418984476;104982,90219859187;99636,27731099559
2021-04-06;104538,42101421724;104132,54144724808;104538,42101421724;103857,15518724844;99620,16838071335
2021-04-07;104754,2742158776;104960,62612837709;104754,2742158776;104321,37489147921;99726,14818520182
2021-04-08;105122,6415816715;104421,32584944497;105122,6415816715;104173,31462429573;100310,30886754217
2021-04-09;105418,61869398724;106393,30281455777;105418,61869398724;105911,33678700421;99765,14875325355
2021-04-12;106218,4316785234;107374,67782318298;106218,4316785234;106670,07229535148;100733,3802470601
2021-04-13;106410,51342112508;107592,83111330838;106410,51342112508;107066,59890524273;101144,58188847531
2021-04-14;106398,59759281366;106553,37683422126;106398,59759281366;105880,32461608671;101990,72464751116
2021-04-15;106766,08287262484;106841,73271349241;106766,08287262484;106367,10674034043;102334,94705248966
2021-04-16;107114,10997766192;106932,29399259626;107114,10997766192;106363,91577158705;102685,10432651953
2021-04-19;106794,5010025523;105753,26991576821;106794,5010025523;105277,17219125766;102532,49340805617
2021-04-20;106325,81587671206;105038,54509432119;106325,81587671206;105024,17743401247;101793,1782919447
2021-04-22;105776,07894203858;103454,53612520649;105776,07894203858;103490,60774492373;101207,32193273249
2021-04-23;106494,64567677755;104874,19844511164;106494,64567677755;104277,94751971052;102189,96667994946
2021-04-26;106367,88820732193;104337,01312937432;106367,88820732193;103695,58105826695;102245,07617828347
2021-04-27;105857,0324468505;104642,8409909468;105857,0324468505;103693,86444097065;101221,73518614292
2021-04-28;105979,27724007636;103018,02967155541;105979,27724007636;102409,68481570353;102633,38618192916
2021-04-29;105544,75887047111;103203,88186998405;105544,75887047111;102132,47140909344;101796,5696456883
2021-04-30;105500,69393240183;104098,5318774935;105500,69393240183;103109,69111014421;100802,90299880452
2021-05-03;105668,77954564159;104196,81886856793;105668,77954564159;103543,91708970755;101069,97210611544
2021-05-04;104971,12770974149;103688,49682304534;104971,12770974149;103158,705177161;99800,75796756169
2021-05-05;105470,52303328968;102441,05695373406;105470,52303328968;102189,01197012754;101370,95475086266
2021-05-06;105680,95487156144;101916,82699843612;105680,95487156144;102404,72497518145;101673,6330724817
2021-05-07;106313,6325081736;101756,58217102739;106313,6325081736;101548,30351024072;103468,5070412982
2021-05-10;105875,18965321056;100653,78216111695;105875,18965321056;100841,30745469486;103359,1358830661
2021-05-11;106330,56233551604;100125,33352544534;106330,56233551604;100610,86350886068;104253,60543294868
2021-05-12;104623,88901014932;99532,42086202343;104623,88901014932;100345,96575011389;101494,73916250518
2021-05-13;105088,93293708607;100062,31987171998;105088,93293708607;100817,35682153338;102339,1862446692
2021-05-14;105954,52966428055;101158,8010347286;105954,52966428055;101597,64871362585;103335,39640686072
2021-05-17;106802,58118799239;101196,89237882415;106802,58118799239;102248,2342764578;104231,56163361511
2021-05-18;106513,2618895703;100091,45533863067;106513,2618895703;101259,72801448614;104267,17084792323
2021-05-19;106787,429339266;100678,9680086814;106787,429339266;102392,50153472967;103975,51442597099
2021-05-20;106790,99453698046;100903,38369506561;106790,99453698046;102298,03286681735;104030,62392430498
2021-05-21;107292,30659178155;102333,99189150304;107292,30659178155;104034,01395780913;103938,20953479105
2021-05-24;107671,38735496718;102575,0949635277;107671,38735496718;103742,21553557558;105159,09688249807
2021-05-25;107761,48030814923;102595,1025562406;107761,48030814923;104473,42561556555;104273,9535554105
2021-05-26;108067,64323305868;102324,44628746607;108067,64323305868;103915,52052321091;105122,63982975404
2021-05-27;108428,7933587042;102115,93505460156;108428,7933587042;103721,6464287082;105443,12275852714
2021-05-28;108600,75025840489;101487,95553273067;108600,75025840489;103194,60423997937;106455,44185100087
2021-05-31;109146,58226486281;101238,63328245084;109146,58226486281;103360,89436112883;107010,77602652038
2021-06-01;109202,36278447666;100017,46846995382;109202,36278447666;101583,90414350362;108749,69265856697
2021-06-02;109531,11650198624;99474,83536071065;109531,11650198624;101019,33681262074;109880,70913206777
2021-06-04;109580,90851101486;99179,35387547588;109580,90851101486;100058,76040193252;110325,82431091928
2021-06-07;109358,22357106362;99018,8526097953;109358,22357106362;99594,76541296688;110876,91929425926
2021-06-08;108889,84291974042;98979,46274342966;108889,84291974042;99467,67054577218;110038,40708114661
2021-06-09;108937,43006666728;99128,50897648818;108937,43006666728;99664,64229278135;110140,14769345552
2021-06-10;109527,23061985725;99918,58165597219;109527,23061985725;100944,25327597067;110283,43238912392
2021-06-11;109464,88184147932;101079,37232349232;109464,88184147932;101548,06940878398;109745,05498232256
2021-06-14;109311,4504551468;100259,43199140723;109311,4504551468;100068,73048774751;110395,34706266374
2021-06-15;108812,66208424071;99473,24294119191;108812,66208424071;99223,67150229783;110296,14996566255
2021-06-16;108375,3495333066;99432,83009301055;108375,3495333066;98996,38704321627;109590,7483869874
2021-06-17;106680,25122017552;98404,47195179878;106680,25122017552;96329,27168139101;108571,64658702638
2021-06-18;107000,19088004385;98033,5904824541;107000,19088004385;96972,90341947608;108866,69436272225
2021-06-21;107418,48414087194;98362,78095795422;107418,48414087194;96722,90991604305;109595,83541760282
2021-06-22;107035,74748033608;98287,86810165075;107035,74748033608;96529,48627053757;109173,61187652081
2021-06-23;106710,86696612962;97574,7561325057;106710,86696612962;95626,3254745883;108886,19464674812
2021-06-24;106907,92235497489;97115,72329752035;106907,92235497489;95232,56437860837;109806,94718814384
2021-06-25;106178,79527548925;97733,16595024036;106178,79527548925;95499,70156141317;107892,52799986435
2021-06-28;106383,48032702834;98142,62653299709;106383,48032702834;96010,59201496723;108039,20404927638
2021-06-29;106219,66380162914;98116,56378362454;106219,66380162914;95789,5935060627;107952,7245288138
2021-06-30;106427,73783433707;98613,04444414173;106427,73783433707;96117,58857877913;107507,60934996228
2021-07-01;106480,8191333675;99175,14822564054;106480,8191333675;96609,95666960438;106544,46488677118
2021-07-02;107806,59387348423;100359,08227208916;107806,59387348423;97393,35194248795;108202,83686740654
2021-07-05;107661,80840619914;100270,91981079605;107661,80840619914;97345,35881221817;107607,65428539937
2021-07-06;107835,69497576417;101129,93910712902;107835,69497576417;97914,51792858554;106060,3491398679
2021-07-07;108927,10278624912;102312,60281367008;108927,10278624912;98683,01312803575;107691,59029055425
2021-07-08;108229,65968671135;101245,59902011373;108229,65968671135;97941,70619741995;106342,67933902517
2021-07-12;109104,11860008795;102068,10233577133;109104,11860008795;98496,12626577329;108179,09739120115
2021-07-13;109179,74481020999;102198,94651440928;109179,74481020999;98505,51302775604;108665,75665341216
2021-07-14;108965,91786498405;101440,14514319954;108965,91786498405;98181,61860204418;108868,3900395941
2021-07-15;108691,48213706234;100998,72550530315;108691,48213706234;98010,16855663108;108072,26974827681
2021-07-16;107978,29661625349;100402,149736987;107978,29661625349;97802,46089493412;106793,72938692808
2021-07-19;107604,81950128883;100011,21796164206;107604,81950128883;97612,55016985058;105466,8622347326
2021-07-20;108462,72444456033;101378,13565089894;108462,72444456033;98454,08909304591;106319,7877012557
2021-07-21;108318,16609906149;101432,6502839622;108318,16609906149;98487,75719787079;106767,44639541494
2021-07-22;108852,26048268398;102309,10503261648;108852,26048268398;98941,50524181603;106952,27517444281
2021-07-23;108324,00895791786;102075,42696130817;108324,00895791786;98799,21093095379;106024,73992555986
2021-07-26;108377,4593515949;101876,16404227553;108377,4593515949;98586,00001653224;106831,03427810803
2021-07-27;107517,59689328689;101105,74302092839;107517,59689328689;98120,71008712948;105650,84317532458
2021-07-28;107773,87623887481;100623,85774066385;107773,87623887481;97709,84318510404;107070,12471703399
2021-07-29;107715,63028659597;100466,56634111608;107715,63028659597;97789,83099603449;106552,09543269442
2021-07-30;106693,079811644;100642,58004388314;106693,079811644;97548,18878389795;103267,56933198817
2021-08-02;106837,92817325669;100575,49269049302;106837,92817325669;97582,42425902594;103873,77381366213
2021-08-03;107229,64895550029;100980,55713732485;107229,64895550029;97717,0010199301;104773,33039416016
2021-08-04;106570,85968776852;100145,66138487826;106570,85968776852;97507,17145962558;103267,56933198817
2021-08-05;106275,65947678094;100372,48850186035;106275,65947678094;97091,44850543764;103125,1324747557
2021-08-06;106575,4680150459;101165,30607263636;106575,4680150459;97650,45689636338;104123,03831381902
2021-08-09;106213,99369799225;101146,10282500353;106213,99369799225;97567,13512438443;104300,23654692373
2021-08-10;105689,87253744945;100488,89956139916;105689,87253744945;97175,65998070997;103607,55254478718
2021-08-11;106076,57061169662;100822,71602558884;106076,57061169662;97374,13575333533;103483,76813314467
2021-08-12;105589,81277120233;100625,67446372991;105589,81277120233;97195,01468807986;102334,9470524898
2021-08-13;105799,44959432741;100599,98574051484;105799,44959432741;96881,7377461322;102752,93140139228
2021-08-16;104818,87170784398;99726,12866557538;104818,87170784398;96044,05122258347;101045,38479147427
2021-08-17;103977,51412451448;98550,2409217967;103977,51412451448;95540,03192135824;99963,54294725611
2021-08-18;103957,39469489349;98858,84408415694;103957,39469489349;95412,89909333462;98894,41867957657
2021-08-19;104852,20835867859;100467,41032042609;104852,20835867859;96386,87642544734;99336,99034312037
2021-08-20;105289,46031817574;100911,25363986634;105289,46031817574;97050,73597045246;100089,87087420638
2021-08-23;105502,40015775558;101564,54469018588;105502,40015775558;97377,53444979142;99597,27674294401
2021-08-24;106160,9983674581;101561,9140763448;106160,9983674581;97480,93119953848;101919,50621889507
2021-08-25;106046,24390523155;101114,36706130047;106046,24390523155;97613,91175551905;102434,14414949101
2021-08-26;105332,90163629915;100369,85247964245;105332,90163629915;97288,74773368545;100658,77046470037
2021-08-27;106350,47016525116;101096,10567771258;106350,47016525116;97846,1302110799;102315,44676846391
2021-08-30;105824,72352486699;100856,7325081769;105824,72352486699;97662,04115832713;101520,17431558254
2021-08-31;104880,50212573518;99875,08778120668;104880,50212573518;96675,10452141102;100707,0972555471
2021-09-01;105092,55602125531;100388,19912493779;105092,55602125531;96518,7113960093;101228,5178936303
2021-09-02;104058,77210853835;99202,95530740784;104058,77210853835;96314,51475015568;98923,24518639738
2021-09-03;104474,31097779183;99729,18290856892;104474,31097779183;96626,05186732841;99140,29182598974
2021-09-06;105095,6279697246;99937,1812897695;105095,6279697246;96595,35443053652;99933,8686019993
2021-09-08;103108,65383715185;99166,03146028257;103108,65383715185;96176,7056381953;96155,9005315948
2021-09-09;103481,80015127585;98839,80895005741;103481,80015127585;95999,9909852337;97807,4898047429
2021-09-10;103145,2688153737;98565,96728978273;103145,2688153737;96033,49195419873;96896,06348614217
2021-09-13;103953,16677807092;98947,81395401113;103953,16677807092;96308,68012062779;98691,78529339457
2021-09-14;104293,83378438788;99304,16677591926;104293,83378438788;96706,28799379854;98502,71732218718
2021-09-15;103683,51119535592;99227,47729161319;103683,51119535592;96510,63120109864;97554,83395084241
2021-09-16;103003,11657999463;99093,41892311591;103003,11657999463;96594,84283977721;96478,92697567561
2021-09-17;101852,93029685038;98013,11063892493;101852,93029685038;95841,0947824989;94482,26745911308
2021-09-20;100692,9181794125;96383,4851401663;100692,9181794125;94759,43514883224;92282,12671793271
2021-09-21;101237,88159717515;96619,91149022242;101237,88159717515;95028,46810742459;93474,18755881887
2021-09-22;102448,22102275598;98066,86258947378;102448,22102275598;95926,89301922053;95196,99526058322
2021-09-23;103193,6530291827;99374,28104395035;103193,6530291827;96596,11363278417;96707,84335337067
2021-09-24;103083,49735854754;99592,42016451264;103083,49735854754;96601,11063910833;96045,6815349268
2021-09-27;103156,78094987391;99531,57675028632;103156,78094987391;96553,16449534647;96300,0330656991
2021-09-28;101273,55204431714;97428,12240844627;101273,55204431714;95328,16429257966;93367,35991589451
2021-09-29;101635,46266358465;97688,34375163623;101635,46266358465;95545,7448851534;94200,78509839173
2021-09-30;101809,00622832669;97196,00652808406;101809,00622832669;95182,44922830931;94092,26177859557
2021-10-01;102578,5867988177;96897,76786108194;102578,5867988177;94939,48685496263;95720,95941397418
2021-10-04;101695,42781170073;97012,64257629946;101695,42781170073;95079,41475970198;93595,42845515368
2021-10-05;101819,08913625042;98154,17657486482;101819,08913625042;95852,36486052297;93650,53795348768
2021-10-06;101983,60887921821;98658,4958711112;101983,60887921821;96342,4407627574;93737,01747395024
2021-10-07;102173,09126840196;99602,81354144165;102173,09126840196;97002,27610208676;93758,21343484793
2021-10-08;103437,9287275536;99602,98248698696;103437,9287275536;97156,00388378205;95664,15423876834
2021-10-11;103239,61998233438;99673,23019299636;103239,61998233438;97145,3529327403;95110,51574012064
2021-10-13;103953,34621151647;99071,07854771285;103953,34621151647;96647,13243381557;96192,3575843388
2021-10-14;104213,98469413609;100213,90335150153;104213,98469413609;97506,68315276568;95962,59336820783
2021-10-15;104400,67277684524;100271,31735009368;104400,67277684524;97534,19948705735;97202,98099994073
2021-10-18;104656,92513008;101227,8335475038;104656,92513008;98184,70508267567;97016,45654404104
2021-10-19;102833,96930369204;101607,84232106086;102833,96930369204;97849,80571771399;93832,8232172078
2021-10-20;103264,9880190232;102538,54074444185;103264,9880190232;99076,39947476209;93928,62896046536
2021-10-21;102139,42663234143;103746,85664628848;102139,42663234143;99858,44529520925;91341,87389251111
2021-10-22;101282,53251764449;103369,3426031573;101282,53251764449;99516,88736834674;90121,83438323998
2021-10-25;102286,89208365891;102749,91832087794;102286,89208365891;99073,48930898841;92172,75555970058
2021-10-26;100779,46643484011;102979,68472376722;100779,46643484011;99108,35074286886;90226,96634929253
2021-10-27;100572,73706552903;102206,54038273278;100572,73706552903;98513,65813938482;90178,6395584458
2021-10-28;100457,3542581532;104071,28747942203;100457,3542581532;99947,63399130321;89620,76186761855
2021-10-29;99628,25795902894;104342,79118299916;99628,25795902894;100130,22566294397;87752,1259548781
2021-11-01;101020,14559833953;104653,07584836142;101020,14559833953;100394,08874650396;89490,19474848878
2021-11-03;101207,0471758678;104875,4362793201;101207,0471758678;100885,9887224459;89546,1520852587
2021-11-04;100417,39947031834;105425,92400912997;100417,39947031834;101175,89963786972;87676,66833408232
2021-11-05;101063,17339890567;104780,0658464399;101063,17339890567;100812,51857337849;88873,81620558393
2021-11-08;101032,86254753389;104888,36981385059;101032,86254753389;100759,99777102003;88837,3591528399
2021-11-09;101238,06582934731;103917,49778944856;101238,06582934731;100115,13969244935;89476,62933351428
2021-11-10;101654,0263898523;103370,15338153763;101654,0263898523;99601,92207284956;89843,74337626228
2021-11-11;102293,85730833051;102233,96337447001;102293,85730833051;98831,40092387839;91333,39550815204
2021-11-12;101908,80933947295;103500,42448374485;101908,80933947295;99875,29648933101;90135,39979821452
2021-11-16;100751,08189609027;104076,41082022506;100751,08189609027;100139,67101710246;88605,89925983711
2021-11-17;100461,9292724911;104797,1687466472;100461,9292724911;100832,32355394578;87280,72778451345
2021-11-18;100482,67565397691;105308,46445727935;100482,67565397691;101251,13532965067;86923,78780299633
2021-11-19;100844,6467045656;105749,06945685572;100844,6467045656;101558,87232278581;87357,03324374516
2021-11-22;99967,02359750686;105562,85024821344;99967,02359750686;101426,26522326539;86582,95675176146
2021-11-23;100296,3332645784;105482,9563381827;100296,3332645784;101354,60422273994;87889,47578149516
2021-11-24;100720,90512640083;105820,31452148528;100720,90512640083;101711,59557189232;88610,98629045258
2021-11-25;101717,66154831038;105613,27415002065;101717,66154831038;101544,82697065713;89710,6327418248
2021-11-26;99541,74920959459;103969,30717834314;99541,74920959459;100374,05701980698;86669,43627222405
2021-11-29;99675,21823139221;105299,37279542831;99675,21823139221;101380,09622475831;87169,66094940958
2021-11-30;98972,94516028462;104385,24114306681;98972,94516028462;100712,48358990482;86407,4541955286
2021-12-01;98451,9766562021;104046,92831211066;98451,9766562021;100525,14239062305;85440,91837859388
2021-12-02;99986,621909038;104684,63801195897;99986,621909038;101078,09247448303;88570,29004552904
2021-12-03;100731,64438187097;104286,54827087172;100731,64438187097;100874,54104669075;89082,38446081727
2021-12-06;102061,2289659958;105647,314296776;102061,2289659958;101911,4665486953;90599,16742265607
2021-12-07;102200,30738086406;106602,60082083286;102200,30738086406;102724,10003584468;91191,80648935553
2021-12-08;102552,27471110183;105846,32584040448;102552,27471110183;102223,20808981043;91647,94356787385
2021-12-09;101593,5230556774;105492,93092005872;101593,5230556774;101867,06732923473;90117,59519106052
2021-12-10;102884,73251298544;106831,56380175041;102884,73251298544;103049,30709095279;91361,37417653707
2021-12-13;102925,34156610064;107033,02425301111;102925,34156610064;103191,92699042031;91043,43476307168
2021-12-14;102124,29295750226;106629,20151791301;102124,29295750226;102855,32558251286;90515,23141750121
2021-12-15;102770,15390655439;107723,09825586648;102770,15390655439;103635,20045998623;91032,41286340488
2021-12-16;103213,6286346609;107502,90391333104;103213,6286346609;103409,45003985293;91746,29282643914
2021-12-17;102541,71011098796;106323,87085649712;102541,71011098796;102366,96324583646;90889,1281677365
2021-12-20;101553,44756943062;106109,33851237764;101553,44756943062;102145,6110626812;89039,9925390219
2021-12-21;102051,98179397677;107622,65632272976;102051,98179397677;103389,26238127566;89446,95498825758
2021-12-22;101775,36264020976;107309,77202278672;101775,36264020976;103138,70948251692;89229,90834866524
2021-12-23;101805,15179815653;108014,21762561087;101805,15179815653;103715,89798852292;88930,62138078983
2021-12-27;102156,5721927384;108463,23219617008;102156,5721927384;103985,50772790497;89473,23797977074
2021-12-28;101841,73626207653;108343,67820002977;101841,73626207653;103914,71326924137;88907,72974302033
2021-12-29;102142,36737102926;109833,3287903003;102142,36737102926;105412,42564198498;88265,91604703823
2021-12-30;101637,84821886753;107701,17302692396;101637,84821886753;103025,72104455117;88872,12052871221
2022-01-03;101454,86906652914;109115,39929027388;101454,86906652914;104466,55897108548;88109,06593639533
2022-01-04;101038,95340440517;108913,24856437063;101038,95340440517;104251,70722597737;87763,14785454501
2022-01-05;99300,20340403702;108011,58951813707;99300,20340403702;103493,84016894961;85636,7690572886
2022-01-06;99062,88572993122;107315,54543396669;99062,88572993122;102913,86836916882;86107,31938921736
2022-01-07;99264,23075406157;106335,21219785554;99264,23075406157;102120,90642750148;87089,11629799844
2022-01-10;98912,09484125431;106225,45604452098;98912,09484125431;101941,05051339987;86432,88934860591
2022-01-11;99809,74146594697;105930,92962537488;99809,74146594697;101722,92427821195;87987,82504006055
2022-01-12;100575,53242123206;105489,6372327444;100575,53242123206;101381,65374206967;89604,65293733643
2022-01-13;100237,13034431473;104671,34222270052;100237,13034431473;100832,9960419707;89472,39014133482
2022-01-14;100654,05327303719;104210,79560195355;100654,05327303719;100488,61953005561;90657,66827473373
2022-01-17;100696,84277555351;104239,18904452171;100696,84277555351;100380,81894102739;90457,57840385952
2022-01-18;100127,86408337545;103387,02389296445;100127,86408337545;99724,95048361276;90313,44586975522
2022-01-19;100423,72362203004;101231,62288724672;100423,72362203004;98154,73620544659;91577,57297769352
2022-01-20;100990,24391100783;100101,09954336479;100990,24391100783;97385,65257677883;92500,86903439696
